Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/29/24,12/31/24,SOTIRIOS SPANOS KAI,Travel,Sale,-25.8,
12/29/24,12/31/24,GB ROOF GARDEN,Food & Drink,Sale,-91.92,
12/24/24,12/30/24,MASOUTIS 563 PSILA ALONIA,Groceries,Sale,-28.4,
12/29/24,12/30/24,ZANAR,Food & Drink,Sale,-37.34,
12/24/24,12/29/24,WONDER NEST RET MON. A,Shopping,Sale,-10.34,
12/28/24,12/29/24,ATTIKI ODOS,Travel,Sale,-2.61,
12/28/24,12/29/24,ATTIKI ODOS,Travel,Sale,-2.61,
12/23/24,12/27/24,GLYKIA GEFSI EE,Food & Drink,Sale,-7.1,
12/26/24,12/27/24,Wolt,Food & Drink,Sale,-63.5,
12/23/24,12/24/24,PSITOPOLIS PATRA E E,Food & Drink,Sale,-3.66,
12/23/24,12/24/24,LIAKOU NIKI,Health & Wellness,Sale,-6.48,
12/24/24,12/24/24,Blink,Shopping,Sale,-3,
12/22/24,12/23/24,APOLLONION,Food & Drink,Sale,-7.52,
12/22/24,12/23/24,KOFOU GEORGIA,Shopping,Sale,-2.09,
12/20/24,12/23/24,SPILIOTI ANTONIA,Shopping,Sale,-2.5,
12/21/24,12/23/24,NIKOLAOS P.SAKELLARIS AE,Shopping,Sale,-145.23,
12/21/24,12/22/24,BARAONDA,Food & Drink,Sale,-175.84,
12/20/24,12/22/24,ANCHO_FOOD_CHALANDRI,Food & Drink,Sale,-9.9,
12/19/24,12/22/24,PENTELICIOUS,Food & Drink,Sale,-2.42,
12/18/24,12/20/24,OASA ETICKET POS,Travel,Sale,-21.07,
12/18/24,12/20/24,OASA ETICKET POS,Travel,Sale,-21.07,
12/19/24,12/20/24,ST KOUTIKAS &amp; SIA OE,Health & Wellness,Sale,-4.73,
12/19/24,12/20/24,MY MARKET 551 PENTELI,Groceries,Sale,-2.51,
12/19/24,12/20/24,Wolt,Food & Drink,Sale,-35.95,
12/18/24,12/19/24,UBER   *TRIP,Travel,Sale,-10.75,
12/18/24,12/19/24,UBER *TRIP HELP.UBER.COM,Travel,Sale,-2.11,
12/17/24,12/18/24,EMMANOUIL PAPOUTSIS,Shopping,Sale,-4.84,
12/16/24,12/18/24,ATTIKA POLIKATASTIMATA,Shopping,Sale,-87.14,
12/16/24,12/18/24,PENTELICIOUS,Food & Drink,Sale,-5.37,
12/15/24,12/17/24,EVEREST GOLDEN HALL,Food & Drink,Sale,-2.74,
12/16/24,12/17/24,ETAIREIA SYMVOLAIOGR,Professional Services,Sale,-80.97,
12/14/24,12/16/24,SP DEADAI,Shopping,Return,4.9,
12/15/24,12/16/24,GOOGLE *YouTubePremium,Shopping,Sale,-7.99,
12/15/24,12/16/24,BROOKS BROTHERS,Shopping,Sale,-157.89,
12/13/24,12/15/24,PENTELICIOUS,Food & Drink,Sale,-5.06,
12/13/24,12/15/24,KOTSIS EE PENTELI,Food & Drink,Sale,-8.32,
12/13/24,12/15/24,SP DEADAI,Shopping,Sale,-4.9,
12/13/24,12/15/24,MY MARKET 551 PENTELI,Groceries,Sale,-5.67,
12/13/24,12/15/24,BURROS OE,Food & Drink,Sale,-31.86,
12/12/24,12/13/24,AMAZON MKTPLACE PMTS,Shopping,Return,96.45,
12/12/24,12/13/24,Vodafone Roaming Services,Bills & Utilities,Sale,-38,
12/12/24,12/13/24,UBER   *TRIP,Travel,Sale,-38.53,
12/12/24,12/13/24,AMAZON MKTPLACE PMTS,Shopping,Return,228.95,
12/12/24,12/13/24,MY MARKET 551 PENTELI,Groceries,Sale,-21.04,
12/12/24,12/13/24,GOOGLE *Google Nest,Shopping,Sale,-8,
12/11/24,12/12/24,UBER   *TRIP,Travel,Sale,-78.35,
12/11/24,12/12/24,AMAZON MKTPLACE PMTS,Shopping,Return,152.62,
12/11/24,12/12/24,HARRIS TEETER #308,Groceries,Sale,-19.02,
12/11/24,12/12/24,UBER   *TRIP,Travel,Sale,-3.72,
12/10/24,12/11/24,FOUNDATIONS PHYSICAL T,Health & Wellness,Sale,-200,
12/10/24,12/11/24,UBER   *EATS,Food & Drink,Sale,-37.78,
12/10/24,12/11/24,TARGET        00014316,Shopping,Sale,-55.54,
12/9/24,12/10/24,TROPICAL SMOOTHIE CAFE VA,Food & Drink,Sale,-12.53,
12/9/24,12/10/24,AMAZON MKTPL*ZR4N16161,Shopping,Sale,-12.06,
12/9/24,12/10/24,7-ELEVEN 10722,Gas,Sale,-6.97,
12/7/24,12/9/24,AMAZON MKTPL*ZR1D80CD1,Shopping,Sale,-12.72,
12/8/24,12/9/24,Caboose II LLC,Food & Drink,Sale,-20.09,
12/7/24,12/9/24,TST*URBANO MOSAIC,Food & Drink,Sale,-132.32,
12/8/24,12/9/24,HARRIS TEETER #308,Groceries,Sale,-26.33,
12/8/24,12/9/24,WHOLEFDS TYS 10049,Groceries,Sale,-18.4,
12/2/24,12/8/24,TROPICAL SMOOTHIE CAFE VA,Food & Drink,Return,12.53,
12/7/24,12/8/24,IC* WEGMANS VIA INSTAC,Groceries,Sale,-159.46,
12/6/24,12/8/24,SHELL OIL 57543774202,Gas,Sale,-40.26,
12/7/24,12/8/24,Wikimedia,Gifts & Donations,Sale,-15,
12/7/24,12/8/24,AMAZON MKTPL*ZR8KZ4E10,Shopping,Sale,-37.09,
12/7/24,12/8/24,TST* DISTRICT TACO - DUNN,Food & Drink,Sale,-14.95,
12/6/24,12/8/24,AMAZON MKTPL*ZR6492NY0,Shopping,Sale,-179.14,
12/6/24,12/8/24,TST*INCA SOCIAL - VIENNA,Food & Drink,Sale,-100.49,
12/6/24,12/8/24,LENSRENTALS.COM,Shopping,Sale,-206.43,
12/4/24,12/6/24,STARBUCKS STORE 22728,Food & Drink,Sale,-6.57,
12/5/24,12/6/24,TING* INV#MI-3715672,Bills & Utilities,Sale,-7.27,
12/6/24,12/6/24,Preply Inc.,Education,Sale,-96.6,
12/5/24,12/6/24,TROPICAL SMOOTHIE CAFE VA,Food & Drink,Sale,-12.53,
12/5/24,12/6/24,HARRIS TEETER #308,Groceries,Sale,-25.97,
12/4/24,12/5/24,HARRIS TEETER #308,Groceries,Sale,-23.97,
12/4/24,12/5/24,TST* DISTRICT TACO - DUNN,Food & Drink,Sale,-19.44,
12/3/24,12/4/24,SQ *CARDINAL TAILORING &amp;,Personal,Sale,-66.24,
12/3/24,12/3/24,AUTOMATIC PAYMENT - THANK,,Payment,4713.99,
12/2/24,12/3/24,TROPICAL SMOOTHIE CAFE VA,Food & Drink,Sale,-12.53,
12/2/24,12/3/24,Amazon Music*ZL1BP0G30,Shopping,Sale,-5.99,
12/1/24,12/2/24,SP FUSELENSES,Health & Wellness,Sale,-47.18,
11/30/24,12/2/24,EZPASSVA AUTO REPLENISH,Travel,Sale,-70,
11/30/24,12/2/24,PUBLIX #1591,Groceries,Sale,-9.25,
11/29/24,12/1/24,SHEETZ 2565   00025650,Gas,Sale,-28.98,
12/1/24,12/1/24,IC* INSTACART*SUBSCRIP,Groceries,Sale,-9.99,
11/29/24,12/1/24,FOOD LION #1361,Groceries,Sale,-33.11,
11/27/24,11/28/24,SP TRAVELPRO LUGGAGE,Shopping,Sale,-171.71,
11/28/24,11/28/24,Wikimedia,Gifts & Donations,Sale,-15.6,
11/26/24,11/28/24,7-ELEVEN 10721,Gas,Sale,-13.38,
11/26/24,11/27/24,UBER   *TRIP,Travel,Sale,-24.82,
11/25/24,11/27/24,TST*SURREAL,Food & Drink,Sale,-19.7,
11/25/24,11/27/24,SMARTRIP WASHINGTON DC,Travel,Sale,-10,
11/25/24,11/26/24,UPWORK * -756425862,Professional Services,Sale,-168.35,
11/25/24,11/26/24,AMAZON MKTPLACE PMTS,Shopping,Return,19.03,
11/24/24,11/25/24,Blink,Shopping,Sale,-3,
